request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Wait until 2024-10-15, then pay IDR 43339000 in full so the minimum balance remains protected."
request_44,35505.44,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay INR 95800 in full so the minimum balance remains protected."
request_45,4793839.9,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 21983000 in full so the minimum balance remains protected."
request_46,28740.75,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2025-01-15,reduce_to:event_4223:2015,Use 2 installments starting 2024-12-03; the plan keeps the INR 84000 minimum protected.
request_47,33486086.18,affordable_with_plan,full_payment,2025-05-05:38114000,2025-07-26,stop:event_4341|stop:event_4339,"Adjust flexible spending, then pay IDR 38114000 today while keeping at least IDR 30049000 available."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,pay INR 45700 today while keeping at least INR 71300 available.
request_49,13071686.8,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 installments starting 2024-03-18; the plan keeps the IDR 20275700 minimum protected.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,pay INR 43900 today while keeping at least INR 99700 available.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,pay IDR 2191000 today while keeping at least IDR 7811000 available.
request_52,18573.87,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28870 in full so the minimum balance remains protected."
request_53,623.55,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Use 3 installments starting 2025-11-21; the plan keeps the USD 2100 minimum protected.
request_54,6458.84,not_affordable,not_recommended,none,,none,Do not proceed by 2026-08-21; no eligible plan keeps the ZAR 37000 minimum protected through the 90-day forecast.
request_55,121996.61,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use 3 installments starting 2026-06-11; the plan keeps the INR 124300 minimum protected.
request_56,678.25,affordable_with_plan,partial_payment,2025-02-03:678.25|2025-02-15:203.31,2025-02-15,none,"Pay USD 678.25 today and USD 203.31 on 2025-02-15, while protecting the minimum balance."
request_57,12668.08,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 61446 in full so the minimum balance remains protected."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,pay IDR 16226000 today while keeping at least IDR 14433900 available.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 installments starting 2025-05-07; the plan keeps the INR 132600 minimum protected.
request_60,168.47,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15, then pay USD 199.89 in full so the minimum balance remains protected."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 installments starting 2024-03-17; the plan keeps the ZAR 36700 minimum protected.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,pay USD 404.23 today while keeping at least USD 1300 available.
request_63,50236.13,not_affordable,not_recommended,none,,none,Do not proceed by 2026-09-17; no eligible plan keeps the INR 153500 minimum protected through the 90-day forecast.
request_64,44426.68,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,Use 3 installments starting 2024-06-11; the plan keeps the INR 36100 minimum protected.
request_65,7114.42,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-25; no eligible plan keeps the ZAR 15500 minimum protected through the 90-day forecast.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,pay INR 22200 today while keeping at least INR 80700 available.
request_67,405.84,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 2024-11-15, then pay USD 2094 in full so the minimum balance remains protected."
request_68,1433.93,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,Use 3 installments starting 2025-02-14; the plan keeps the USD 1500 minimum protected.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,pay EUR 529.10 today while keeping at least EUR 700 available.
request_70,59952.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 2025-02-15, then pay INR 243900 in full so the minimum balance remains protected."
request_71,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-05-28; no eligible plan keeps the IDR 8884800 minimum protected through the 90-day forecast.
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,pay ZAR 11330 today while keeping at least ZAR 12200 available.
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,pay INR 71400 today while keeping at least INR 103200 available.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,pay ZAR 5010 today while keeping at least ZAR 21900 available.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use 3 installments starting 2026-04-09; the plan keeps the ZAR 39000 minimum protected.
request_76,832.49,not_affordable,not_recommended,none,2024-08-24,none,Do not proceed by 2024-07-30; no eligible plan keeps the USD 1800 minimum protected through the 90-day forecast.
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,pay INR 60700 today while keeping at least INR 82200 available.
request_78,47816.63,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7225:1480|reduce_to:event_7224:805,"Adjust flexible spending, then pay INR 50200 today while keeping at least INR 55200 available."
request_79,336.57,not_affordable,not_recommended,none,,none,Do not proceed by 2024-11-01; no eligible plan keeps the EUR 1000 minimum protected through the 90-day forecast.
request_80,93296.42,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-21; no eligible plan keeps the INR 121300 minimum protected through the 90-day forecast.
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,pay USD 2076 today while keeping at least USD 1600 available.
request_82,259.95,not_affordable,not_recommended,none,2025-02-20,none,Do not proceed by 2025-02-15; no eligible plan keeps the USD 1100 minimum protected through the 90-day forecast.
request_83,11924.1,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-17; no eligible plan keeps the INR 37800 minimum protected through the 90-day forecast.
request_84,24435.0,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Wait until 2026-05-15, then pay INR 95400 in full so the minimum balance remains protected."
request_85,968433.62,not_affordable,not_recommended,none,,none,Do not proceed by 2024-04-26; no eligible plan keeps the IDR 6396300 minimum protected through the 90-day forecast.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,pay INR 46300 today while keeping at least INR 84900 available.
request_87,26879.35,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-15; no eligible plan keeps the INR 185900 minimum protected through the 90-day forecast.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Use 3 installments starting 2024-06-14; the plan keeps the ZAR 25800 minimum protected.
request_89,8867843.98,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,Use 3 installments starting 2025-11-18; the plan keeps the IDR 12534700 minimum protected.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,pay ZAR 2560 today while keeping at least ZAR 7600 available.
request_91,723.9,affordable_later,wait,2024-10-15:1927.20,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 1927.20 in full so the minimum balance remains protected."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,pay ZAR 34034 today while keeping at least ZAR 28100 available.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,pay USD 1729.20 today while keeping at least USD 1900 available.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,pay EUR 572 today while keeping at least EUR 600 available.
request_95,30928.85,not_affordable,not_recommended,none,,none,Do not proceed by 2025-07-14; no eligible plan keeps the INR 145500 minimum protected through the 90-day forecast.
request_96,76870.48,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,Use 3 installments starting 2026-01-10; the plan keeps the INR 56500 minimum protected.
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Use 3 installments starting 2024-03-19; the plan keeps the ZAR 29700 minimum protected.
request_98,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-10-15; no eligible plan keeps the ZAR 30000 minimum protected through the 90-day forecast.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,pay ZAR 18062 today while keeping at least ZAR 49100 available.
request_100,28098.35,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use 3 installments starting 2024-06-13; the plan keeps the ZAR 32500 minimum protected.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,pay INR 143500 today while keeping at least INR 187400 available.
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use 3 installments starting 2026-04-05; the plan keeps the EUR 900 minimum protected.
request_103,12211.02,not_affordable,not_recommended,none,,none,Do not proceed by 2024-10-07; no eligible plan keeps the INR 125500 minimum protected through the 90-day forecast.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,pay ZAR 17204 today while keeping at least ZAR 24700 available.
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,pay INR 53500 today while keeping at least INR 73900 available.
request_106,452.86,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2207.70 in full so the minimum balance remains protected."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Use 3 installments starting 2025-05-08; the plan keeps the EUR 1600 minimum protected.
request_108,1512.29,not_affordable,not_recommended,none,2026-09-24,none,Do not proceed by 2026-07-26; no eligible plan keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_109,595.82,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,Use 3 installments starting 2024-03-18; the plan keeps the EUR 1700 minimum protected.
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use 3 installments starting 2025-08-06; the plan keeps the ZAR 11200 minimum protected.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,pay IDR 16625000 today while keeping at least IDR 23022800 available.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,pay EUR 271.70 today while keeping at least EUR 500 available.
request_113,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-10-19; no eligible plan keeps the INR 82300 minimum protected through the 90-day forecast.
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,pay INR 65300 today while keeping at least INR 113400 available.
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 80500 in full so the minimum balance remains protected."
request_116,15203.64,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-16; no eligible plan keeps the INR 80300 minimum protected through the 90-day forecast.
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,pay EUR 880 today while keeping at least EUR 1000 available.
request_118,622.75,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-20,none,Use 3 installments starting 2024-12-07; the plan keeps the EUR 600 minimum protected.
request_119,70146.78,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,Use 3 installments starting 2025-05-18; the plan keeps the INR 151200 minimum protected.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,pay IDR 7714000 today while keeping at least IDR 20050300 available.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,pay USD 633.60 today while keeping at least USD 800 available.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use 3 installments starting 2025-08-05; the plan keeps the IDR 12588500 minimum protected.
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,pay IDR 4076000 today while keeping at least IDR 18091200 available.
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,Use 3 installments starting 2024-06-11; the plan keeps the EUR 1600 minimum protected.
request_125,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-14; no eligible plan keeps the ZAR 11300 minimum protected through the 90-day forecast.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,pay INR 159600 today while keeping at least INR 129700 available.
request_127,10275.41,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 2024-10-15, then pay ZAR 23980 in full so the minimum balance remains protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,pay ZAR 25168 today while keeping at least ZAR 42600 available.
request_129,113.6,not_affordable,not_recommended,none,,none,Do not proceed by 2026-06-18; no eligible plan keeps the USD 800 minimum protected through the 90-day forecast.
request_130,491.97,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1978.80 in full so the minimum balance remains protected."
request_131,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-07-08; no eligible plan keeps the USD 1100 minimum protected through the 90-day forecast.
request_132,262.94,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 2026-01-15, then pay USD 379.86 in full so the minimum balance remains protected."
request_133,5432395.72,not_affordable,not_recommended,none,,none,Do not proceed by 2024-03-29; no eligible plan keeps the IDR 9986200 minimum protected through the 90-day forecast.
request_134,6798990.79,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Wait until 2025-09-15, then pay IDR 21831000 in full so the minimum balance remains protected."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,pay USD 304.80 today while keeping at least USD 500 available.
request_136,532.01,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Adjust flexible spending, then pay USD 560.40 today while keeping at least USD 1100 available."
request_137,26770.94,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-15; no eligible plan keeps the INR 71800 minimum protected through the 90-day forecast.
request_138,955.53,affordable_with_plan,partial_payment,2026-04-07:955.53|2026-04-15:301.41,2026-04-15,none,"Pay EUR 955.53 today and EUR 301.41 on 2026-04-15, while protecting the minimum balance."
request_139,1397.35,not_affordable,not_recommended,none,2024-11-15,none,Do not proceed by 2024-11-17; no eligible plan keeps the USD 1500 minimum protected through the 90-day forecast.
request_140,1766.44,not_affordable,not_recommended,none,,none,Do not proceed by 2025-03-04; no eligible plan keeps the ZAR 21600 minimum protected through the 90-day forecast.
request_141,29171.13,not_affordable,not_recommended,none,,none,Do not proceed by 2026-02-12; no eligible plan keeps the INR 67300 minimum protected through the 90-day forecast.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,pay USD 1263.60 today while keeping at least USD 1700 available.
request_143,3290.19,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 2025-07-15, then pay ZAR 12584 in full so the minimum balance remains protected."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,pay USD 233.34 today while keeping at least USD 600 available.
request_145,14727.87,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-20,none,Use 3 installments starting 2024-03-20; the plan keeps the INR 155400 minimum protected.
request_146,19393.07,not_affordable,not_recommended,none,,none,Do not proceed by 2025-10-17; no eligible plan keeps the INR 108600 minimum protected through the 90-day forecast.
request_147,487.56,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,Use 3 installments starting 2026-04-08; the plan keeps the EUR 900 minimum protected.
request_148,8120.42,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,Use 3 installments starting 2024-06-14; the plan keeps the ZAR 20000 minimum protected.
request_149,20486.95,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,Use 3 installments starting 2025-11-18; the plan keeps the ZAR 42100 minimum protected.
request_150,296.4,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,Use 3 installments starting 2026-01-06; the plan keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,pay IDR 26999000 today while keeping at least IDR 31633600 available.
request_152,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-13; no eligible plan keeps the ZAR 11900 minimum protected through the 90-day forecast.
request_153,93.23,not_affordable,not_recommended,none,,none,Do not proceed by 2026-09-24; no eligible plan keeps the USD 1400 minimum protected through the 90-day forecast.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 installments starting 2024-12-04; the plan keeps the EUR 1300 minimum protected.
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,pay INR 112500 today while keeping at least INR 56300 available.
request_156,8909.93,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Wait until 2026-05-15, then pay ZAR 43076 in full so the minimum balance remains protected."
request_157,5023428.21,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 23503000 in full so the minimum balance remains protected."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use 3 installments starting 2025-08-07; the plan keeps the INR 131400 minimum protected.
request_159,6871.58,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-20; no eligible plan keeps the ZAR 8700 minimum protected through the 90-day forecast.
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use 3 installments starting 2024-06-13; the plan keeps the EUR 1200 minimum protected.
request_161,6882814.71,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 2026-01-15, then pay IDR 21204000 in full so the minimum balance remains protected."
request_162,3021829.57,not_affordable,not_recommended,none,,none,Do not proceed by 2026-08-26; no eligible plan keeps the IDR 24161100 minimum protected through the 90-day forecast.
request_163,10786492.31,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-20,none,Use 3 installments starting 2024-09-10; the plan keeps the IDR 26728700 minimum protected.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use 3 installments starting 2025-02-11; the plan keeps the IDR 29550500 minimum protected.
request_165,74510.71,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135,"Adjust flexible spending, then pay INR 80600 today while keeping at least INR 95000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use 3 installments starting 2024-12-03; the plan keeps the USD 1700 minimum protected.
request_167,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-05-31; no eligible plan keeps the ZAR 31200 minimum protected through the 90-day forecast.
request_168,42462.3,affordable_with_plan,partial_payment,2026-01-07:42462.30|2026-01-15:6917.70,2026-01-15,none,"Pay INR 42462.30 today and INR 6917.70 on 2026-01-15, while protecting the minimum balance."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,pay ZAR 41976 today while keeping at least ZAR 18700 available.
request_170,32845773.48,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Use 3 installments starting 2025-08-06; the plan keeps the IDR 24715800 minimum protected.
request_171,32.36,not_affordable,not_recommended,none,,none,Do not proceed by 2026-09-10; no eligible plan keeps the EUR 500 minimum protected through the 90-day forecast.
request_172,7724.69,affordable_with_plan,partial_payment,2024-06-05:7724.69|2024-06-15:2475.31,2024-06-15,none,"Pay ZAR 7724.69 today and ZAR 2475.31 on 2024-06-15, while protecting the minimum balance."
request_173,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-17; no eligible plan keeps the INR 79100 minimum protected through the 90-day forecast.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 installments starting 2026-04-04; the plan keeps the EUR 700 minimum protected.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,pay EUR 2346.30 today while keeping at least EUR 1700 available.
request_176,353.72,not_affordable,not_recommended,none,2025-04-24,none,Do not proceed by 2025-02-27; no eligible plan keeps the EUR 600 minimum protected through the 90-day forecast.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,pay USD 1017.60 today while keeping at least USD 1300 available.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use 3 installments starting 2024-12-07; the plan keeps the EUR 1400 minimum protected.
request_179,9519440.77,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41648000 in full so the minimum balance remains protected."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,pay INR 66500 today while keeping at least INR 37300 available.
request_181,378.52,not_affordable,not_recommended,none,,none,Do not proceed by 2024-04-07; no eligible plan keeps the USD 2000 minimum protected through the 90-day forecast.
request_182,23815.74,not_affordable,not_recommended,none,,none,Do not proceed by 2025-09-26; no eligible plan keeps the ZAR 31100 minimum protected through the 90-day forecast.
request_183,22873250.27,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-15,reduce_to:event_16815:365560,Use 3 installments starting 2026-04-10; the plan keeps the IDR 11878300 minimum protected.
request_184,13699.27,not_affordable,not_recommended,none,,none,Do not proceed by 2024-07-30; no eligible plan keeps the INR 110800 minimum protected through the 90-day forecast.
request_185,455.53,affordable_later,wait,2025-12-15:1257.30,2025-12-15,none,"Wait until 2025-12-15, then pay EUR 1257.30 in full so the minimum balance remains protected."
request_186,7574.57,affordable_later,wait,2026-02-15:26554,2026-02-15,none,"Wait until 2026-02-15, then pay ZAR 26554 in full so the minimum balance remains protected."
request_187,45576.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Wait until 2024-10-15, then pay INR 187500 in full so the minimum balance remains protected."
request_188,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-03-04; no eligible plan keeps the EUR 900 minimum protected through the 90-day forecast.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,pay EUR 488.40 today while keeping at least EUR 400 available.
request_190,744.38,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2557.50 in full so the minimum balance remains protected."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,pay EUR 664.40 today while keeping at least EUR 500 available.
request_192,148.62,not_affordable,not_recommended,none,,none,Do not proceed by 2026-05-11; no eligible plan keeps the USD 1000 minimum protected through the 90-day forecast.
request_193,164.64,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Use 3 installments starting 2024-03-21; the plan keeps the EUR 1000 minimum protected.
request_194,0.0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-10-23; no eligible plan keeps the INR 113600 minimum protected through the 90-day forecast.
request_195,994.97,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,Use 3 installments starting 2026-01-09; the plan keeps the EUR 700 minimum protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,pay EUR 762.30 today while keeping at least EUR 500 available.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,Use 3 installments starting 2025-11-19; the plan keeps the IDR 26245900 minimum protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,pay INR 185800 today while keeping at least INR 124300 available.
